"Portal","Job Title","Company","URL","About the job","Pay","Location","Summary","Requirements","Responsibilities","Benefits","Scraped At"
"USAJOBS","Honors Attorney","Central Intelligence Agency","https://www.usajobs.gov:443/job/721962100","Attorneys at the CIA provide advice and counsel on a variety of issues relating to intelligence and national security, as well as on the routine practices of an executive agency deployed worldwide.","$93994-$121785 PA","Washington, District of Columbia","Attorneys at the CIA provide advice and counsel on a variety of issues relating to intelligence and national security, as well as on the routine practices of an executive agency deployed worldwide.","","","","2026-08-10T09:36:00.453745+00:00"
"USAJOBS","Cyber Threat Analyst","Central Intelligence Agency","https://www.usajobs.gov:443/job/722102800","Cyber Threat Analysts assess foreign cyber intentions and capabilities to support U.S. national security interests.","$63940-$158322 PA","Washington, District of Columbia","Cyber Threat Analysts assess foreign cyber intentions and capabilities to support U.S. national security interests.","","","","2026-08-10T09:36:00.454595+00:00"
"USAJOBS","Resource Analyst","Central Intelligence Agency","https://www.usajobs.gov:443/job/722317000","Resource Analysts strategically plan, develop, analyze, and prioritize internal program budgets in support of CIA and Intelligence Community mission objectives.","$82396-$121785 PA","Washington, District of Columbia","Resource Analysts strategically plan, develop, analyze, and prioritize internal program budgets in support of CIA and Intelligence Community mission objectives.","","","","2026-08-10T09:36:00.454986+00:00"
"USAJOBS","Accountant","Central Intelligence Agency","https://www.usajobs.gov:443/job/723111900","Accountants use their skills in challenging and rewarding areas such as: financial statement compilation and analysis; general ledger review and analysis; and payroll and tax accounting.","$76726-$133964 PA","Washington, District of Columbia","Accountants use their skills in challenging and rewarding areas such as: financial statement compilation and analysis; general ledger review and analysis; and payroll and tax accounting.","","","","2026-08-10T09:36:00.455449+00:00"
"USAJOBS","Technical Targeting Analyst","Central Intelligence Agency","https://www.usajobs.gov:443/job/723123400","Technical Targeting Analysts evaluate data across a variety of specialized technical areas to provide insights that drive decision-making for operations.","$70623-$197200 PA","Washington, District of Columbia","Technical Targeting Analysts evaluate data across a variety of specialized technical areas to provide insights that drive decision-making for operations.","","","","2026-08-10T09:36:00.456144+00:00"
"USAJOBS","Case Officer","Central Intelligence Agency","https://www.usajobs.gov:443/job/756734700","Case Officers clandestinely spot, assess, develop, recruit, and handle non-U.S. citizens with access to foreign intelligence vital to U.S. foreign policy and national security decision-makers.","$72254-$109975 PA","Washington, District of Columbia","Case Officers clandestinely spot, assess, develop, recruit, and handle non-U.S. citizens with access to foreign intelligence vital to U.S. foreign policy and national security decision-makers.","","","","2026-08-10T09:36:00.457120+00:00"
"USAJOBS","Language Officer","Central Intelligence Agency","https://www.usajobs.gov:443/job/756770500","Directorate of Operations Language Officers use their foreign Language skills, cultural experience, and expertise to support clandestine operations.","$79567-$131826 PA","Washington, District of Columbia","Directorate of Operations Language Officers use their foreign Language skills, cultural experience, and expertise to support clandestine operations.","","","","2026-08-10T09:36:00.458470+00:00"
"USAJOBS","Staff Operations Officer","Central Intelligence Agency","https://www.usajobs.gov:443/job/756775500","Staff Operations Officers provide integration between CIA Headquarters and Directorate of Operations field offices, program management, and operational case management to drive clandestine operations.","$72254-$109975 PA","Washington, District of Columbia","Staff Operations Officers provide integration between CIA Headquarters and Directorate of Operations field offices, program management, and operational case management to drive clandestine operations.","","","","2026-08-10T09:36:00.459480+00:00"
"USAJOBS","IG Auditor/Program Analyst","Central Intelligence Agency","https://www.usajobs.gov:443/job/757394900","Inspector General Auditors conduct performance, financial statement, financial-related, and information systems audits of CIA programs and activities.","$75972-$185234 PA","Washington, District of Columbia","Inspector General Auditors conduct performance, financial statement, financial-related, and information systems audits of CIA programs and activities.","","","","2026-08-10T09:36:00.462136+00:00"
"USAJOBS","Lateral Attorney","Central Intelligence Agency","https://www.usajobs.gov:443/job/757401400","Attorneys at CIA provide advice and counsel regarding a variety of issues relating to intelligence and national security, as well as the routine practices of an executive agency deployed worldwide.","$143913-$197200 PA","Washington, District of Columbia","Attorneys at CIA provide advice and counsel regarding a variety of issues relating to intelligence and national security, as well as the routine practices of an executive agency deployed worldwide.","","","","2026-08-10T09:36:00.462656+00:00"
"USAJOBS","Logistics Officer","Central Intelligence Agency","https://www.usajobs.gov:443/job/757408900","Logistics Officers work on accomplished teams both domestically and abroad, that provide a full range of logistics and supply chain solutions in support of the Agency's global mission.","$82305-$107156 PA","Washington, District of Columbia","Logistics Officers work on accomplished teams both domestically and abroad, that provide a full range of logistics and supply chain solutions in support of the Agency's global mission.","","","","2026-08-10T09:36:00.463430+00:00"
"USAJOBS","Registered Nurse","Central Intelligence Agency","https://www.usajobs.gov:443/job/757411800","Occupational Health Nurses identify and assess occupational and non-occupational illness and injuries, respond to medical emergencies, and provide medical information to those traveling overseas.","$103478-$112662 PA","Washington, District of Columbia","Occupational Health Nurses identify and assess occupational and non-occupational illness and injuries, respond to medical emergencies, and provide medical information to those traveling overseas.","","","","2026-08-10T09:36:00.464125+00:00"
