"Portal","Job Title","Company","URL","About the job","Pay","Location","Summary","Requirements","Responsibilities","Benefits","Scraped At"
"USAJOBS","Sales Associate","Commander, Navy Installations Command","https://www.usajobs.gov:443/job/878394200","The purpose of this position is to support all of the retail operations and perform duties in all areas of the Midshipmen Store, Gift Shop, Barbershop, Uniform Store, Online Store, or any other retail operation within NABSD.","$18-$18 PH","Annapolis, Maryland","The purpose of this position is to support all of the retail operations and perform duties in all areas of the Midshipmen Store, Gift Shop, Barbershop, Uniform Store, Online Store, or any other retail operation within NABSD.","","","","2026-08-10T09:31:30.240881+00:00"
"USAJOBS","Sales Clerk NF-02","United States Army Installation Management Command","https://www.usajobs.gov:443/job/877845200","This position is located at Rod and Gun Club Fort Bliss TX. To better expedite the hiring process, we recommend including full contact information (name, address, phone number, email, etc.) for professional and personal references on your resume. Incentives and Bonuses Incentives will not be paid","$16-$16 PH","Fort Bliss, Texas","This position is located at Rod and Gun Club Fort Bliss TX. To better expedite the hiring process, we recommend including full contact information (name, address, phone number, email, etc.) for professional and personal references on your resume. Incentives and Bonuses Incentives will not be paid","","","","2026-08-10T09:31:30.241623+00:00"
"USAJOBS","SALES ASSOCIATE NF-1","U.S. Marine Corps","https://www.usajobs.gov:443/job/879026800","Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively.","$17.75-$17.75 PH","Marine Corps Air Station Miramar, California","Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively.","","","","2026-08-10T09:31:30.242469+00:00"
"USAJOBS","Sales Associate NF1","U.S. Marine Corps","https://www.usajobs.gov:443/job/878898200","Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively.","$15-$16 PH","Quantico, Virginia","Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively.","","","","2026-08-10T09:31:30.243514+00:00"
"USAJOBS","SALES ASSOCIATE NF1","U.S. Marine Corps","https://www.usajobs.gov:443/job/879263300","Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively.","$15-$15 PH","Havelock, North Carolina","Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively.","","","","2026-08-10T09:31:30.244528+00:00"
"USAJOBS","Sales Clerk","Commander, Navy Installations Command","https://www.usajobs.gov:443/job/879575100","This position is located within Commander, Mid-Atlantic Region, Fleet and Family Readiness Program. The purpose of this position is to ensure proper collection and disposition of revenues generated at the assigned facility/beach.This position is located at NAVAL STATION NORFOLK IN NORFOLK, VA.","$15-$15 PH","Norfolk, Virginia","This position is located within Commander, Mid-Atlantic Region, Fleet and Family Readiness Program. The purpose of this position is to ensure proper collection and disposition of revenues generated at the assigned facility/beach.This position is located at NAVAL STATION NORFOLK IN NORFOLK, VA.","","","","2026-08-10T09:31:30.245510+00:00"
"USAJOBS","Sales Store Clerk NF-02","U.S. Army Military District of Washington","https://www.usajobs.gov:443/job/879746900","This position is located at National Security Agency (NSA) Civilian Welfare Fund (CWF) Restaurants Gift Shop at Fort George G. Meade, Maryland... Incentives and Bonuses Incentives will not be paid.","$18-$19 PH","Fort Meade, Maryland","This position is located at National Security Agency (NSA) Civilian Welfare Fund (CWF) Restaurants Gift Shop at Fort George G. Meade, Maryland... Incentives and Bonuses Incentives will not be paid.","","","","2026-08-10T09:31:30.246224+00:00"
"USAJOBS","SALES ASSOCIATE, NF-2091-01","U.S. Marine Corps","https://www.usajobs.gov:443/job/878631400","Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively.","$15-$15 PH","Jacksonville, North Carolina","Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively.","","","","2026-08-10T09:31:30.246872+00:00"
"USAJOBS","Lead Sales Clerk (Scuba)","Pacific Air Forces","https://www.usajobs.gov:443/job/876211700","About the position: This position is Non-appropriated Fund (NAF) and is located at the Kadena Marina on Kadena Air Base in Okinawa, Japan.","$16.55-$17 PH","Kadena Air Base Okinawa, Japan","About the position: This position is Non-appropriated Fund (NAF) and is located at the Kadena Marina on Kadena Air Base in Okinawa, Japan.","","","","2026-08-10T09:31:30.247838+00:00"
"USAJOBS","VCS Sales Clerk - Lebanon","Veterans Health Administration","https://www.usajobs.gov:443/job/879218200","Are you seeking a better work-life balance? Join an exceptional organization that prioritizes Veterans for an outstanding career! With over 78 years of serving our nation's Veterans, the Veterans Canteen Service (VCS) is currently seeking a dynamic, part time Sales Clerk for our Lebanon, PA VA Medical Center Canteen. Join our fast-paced environment if you have a passion for our Veterans and their families, along with prior multi-unit experience.","$18.39-$18.39 PH","Lebanon, Pennsylvania","Are you seeking a better work-life balance? Join an exceptional organization that prioritizes Veterans for an outstanding career! With over 78 years of serving our nation's Veterans, the Veterans Canteen Service (VCS) is currently seeking a dynamic, part time Sales Clerk for our Lebanon, PA VA Medical Center Canteen. Join our fast-paced environment if you have a passion for our Veterans and their families, along with prior multi-unit experience.","","","","2026-08-10T09:31:30.248351+00:00"
